name,type,required,enhancer,usedIn
PromptType,Single select,True,False,All
SessionID,Autonumber/Formula,True,False,All
UserID,Text,False,False,All
CreatedAt,Date,True,False,All
OutputURL,URL,False,False,All
SmartPromptScore,Number,False,False,All
bizName,Text,True,False,All prompts
goal,Long text,True,False,Most
audience,Text,True,False,Most
keyOfferings,Text,True,False,Most
industry,Text,True,False,Most
tone,Text,False,True,All prompts
customerContent,Long text,True,False,site_audit
customerPain,Text,False,True,Many
differentiator,Text,False,True,Many
desiredAction,Text,False,True,Many
